統計年月,區域別,姓氏,性別,人口數
10706,新北市板橋區,陳,男,29584
10706,新北市板橋區,陳,女,31019
10706,新北市板橋區,林,男,24679
10706,新北市板橋區,林,女,25578
10706,新北市板橋區,黃,男,16307
10706,新北市板橋區,黃,女,17007
10706,新北市板橋區,張,男,14084
10706,新北市板橋區,張,女,14545
10706,新北市板橋區,李,男,13594
10706,新北市板橋區,李,女,14569
10706,新北市板橋區,王,男,12038
10706,新北市板橋區,王,女,12127
10706,新北市板橋區,吳,男,11622
10706,新北市板橋區,吳,女,12143
10706,新北市板橋區,劉,男,8045
10706,新北市板橋區,劉,女,8395
10706,新北市板橋區,蔡,男,8044
10706,新北市板橋區,蔡,女,8100
10706,新北市板橋區,楊,男,7062
10706,新北市板橋區,楊,女,7392
10706,新北市板橋區,許,男,6367
10706,新北市板橋區,許,女,6595
10706,新北市板橋區,鄭,男,5154
10706,新北市板橋區,鄭,女,5368
10706,新北市板橋區,謝,男,4360
10706,新北市板橋區,謝,女,4658
10706,新北市板橋區,洪,男,4368
10706,新北市板橋區,洪,女,4395
10706,新北市板橋區,廖,男,4272
10706,新北市板橋區,廖,女,4412
10706,新北市板橋區,郭,男,3865
10706,新北市板橋區,郭,女,3949
10706,新北市板橋區,邱,男,3718
10706,新北市板橋區,邱,女,4021
10706,新北市板橋區,周,男,3524
10706,新北市板橋區,周,女,3764
10706,新北市板橋區,賴,男,3581
10706,新北市板橋區,賴,女,3677
10706,新北市板橋區,徐,男,3499
10706,新北市板橋區,徐,女,3670
10706,新北市三重區,陳,男,23956
10706,新北市三重區,陳,女,24449
10706,新北市三重區,林,男,18212
10706,新北市三重區,林,女,18473
10706,新北市三重區,李,男,12288
10706,新北市三重區,李,女,12328
10706,新北市三重區,黃,男,11475
10706,新北市三重區,黃,女,11867
10706,新北市三重區,張,男,9876
10706,新北市三重區,張,女,10210
10706,新北市三重區,吳,男,8634
10706,新北市三重區,吳,女,9085
10706,新北市三重區,王,男,7961
10706,新北市三重區,王,女,8239
10706,新北市三重區,蔡,男,6830
10706,新北市三重區,蔡,女,6867
10706,新北市三重區,楊,男,5055
10706,新北市三重區,楊,女,5270
10706,新北市三重區,許,男,4952
10706,新北市三重區,許,女,5014
10706,新北市三重區,劉,男,4553
10706,新北市三重區,劉,女,4758
10706,新北市三重區,鄭,男,3898
10706,新北市三重區,鄭,女,3930
10706,新北市三重區,葉,男,3124
10706,新北市三重區,葉,女,2993
10706,新北市三重區,郭,男,2941
10706,新北市三重區,郭,女,3026
10706,新北市三重區,謝,男,2870
10706,新北市三重區,謝,女,2976
10706,新北市三重區,周,男,2795
10706,新北市三重區,周,女,2754
10706,新北市三重區,洪,男,2722
10706,新北市三重區,洪,女,2739
10706,新北市三重區,廖,男,2532
10706,新北市三重區,廖,女,2602
10706,新北市三重區,曾,男,2276
10706,新北市三重區,曾,女,2334
10706,新北市三重區,蘇,男,2163
10706,新北市三重區,蘇,女,2191
10706,新北市中和區,陳,男,20910
10706,新北市中和區,陳,女,22462
10706,新北市中和區,林,男,17107
10706,新北市中和區,林,女,18061
10706,新北市中和區,黃,男,10670
10706,新北市中和區,黃,女,11218
10706,新北市中和區,張,男,10686
10706,新北市中和區,張,女,10900
10706,新北市中和區,李,男,10321
10706,新北市中和區,李,女,11046
10706,新北市中和區,王,男,8495
10706,新北市中和區,王,女,8887
10706,新北市中和區,吳,男,7383
10706,新北市中和區,吳,女,7949
10706,新北市中和區,劉,男,6432
10706,新北市中和區,劉,女,6750
10706,新北市中和區,楊,男,5077
10706,新北市中和區,楊,女,5263
10706,新北市中和區,蔡,男,5074
10706,新北市中和區,蔡,女,5045
10706,新北市中和區,許,男,4210
10706,新北市中和區,許,女,4534
10706,新北市中和區,鄭,男,3565
10706,新北市中和區,鄭,女,3730
10706,新北市中和區,周,男,3106
10706,新北市中和區,周,女,3154
10706,新北市中和區,謝,男,3032
10706,新北市中和區,謝,女,3182
10706,新北市中和區,呂,男,2908
10706,新北市中和區,呂,女,2844
10706,新北市中和區,廖,男,2704
10706,新北市中和區,廖,女,2905
10706,新北市中和區,徐,男,2623
10706,新北市中和區,徐,女,2939
10706,新北市中和區,邱,男,2633
10706,新北市中和區,邱,女,2745
10706,新北市中和區,曾,男,2479
10706,新北市中和區,曾,女,2716
10706,新北市中和區,洪,男,2422
10706,新北市中和區,洪,女,2609
10706,新北市永和區,陳,男,11344
10706,新北市永和區,陳,女,12418
10706,新北市永和區,林,男,8314
10706,新北市永和區,林,女,9247
10706,新北市永和區,張,男,5824
10706,新北市永和區,張,女,6447
10706,新北市永和區,黃,男,5411
10706,新北市永和區,黃,女,6132
10706,新北市永和區,李,男,5438
10706,新北市永和區,李,女,5906
10706,新北市永和區,王,男,4744
10706,新北市永和區,王,女,5231
10706,新北市永和區,吳,男,3768
10706,新北市永和區,吳,女,4157
10706,新北市永和區,劉,男,3621
10706,新北市永和區,劉,女,3829
10706,新北市永和區,楊,男,2361
10706,新北市永和區,楊,女,2934
10706,新北市永和區,蔡,男,2465
10706,新北市永和區,蔡,女,2798
10706,新北市永和區,許,男,2464
10706,新北市永和區,許,女,2619
10706,新北市永和區,鄭,男,1903
10706,新北市永和區,鄭,女,2147
10706,新北市永和區,周,男,1724
10706,新北市永和區,周,女,1876
10706,新北市永和區,郭,男,1565
10706,新北市永和區,郭,女,1668
10706,新北市永和區,謝,男,1460
10706,新北市永和區,謝,女,1766
10706,新北市永和區,洪,男,1504
10706,新北市永和區,洪,女,1557
10706,新北市永和區,徐,男,1430
10706,新北市永和區,徐,女,1539
10706,新北市永和區,曾,男,1225
10706,新北市永和區,曾,女,1446
10706,新北市永和區,廖,男,1269
10706,新北市永和區,廖,女,1394
10706,新北市永和區,邱,男,1179
10706,新北市永和區,邱,女,1412
10706,新北市新莊區,陳,男,24226
10706,新北市新莊區,陳,女,25077
10706,新北市新莊區,林,男,18077
10706,新北市新莊區,林,女,18631
10706,新北市新莊區,黃,男,12941
10706,新北市新莊區,黃,女,13331
10706,新北市新莊區,李,男,11221
10706,新北市新莊區,李,女,11911
10706,新北市新莊區,張,男,10571
10706,新北市新莊區,張,女,11221
10706,新北市新莊區,吳,男,9879
10706,新北市新莊區,吳,女,10124
10706,新北市新莊區,王,男,8274
10706,新北市新莊區,王,女,8801
10706,新北市新莊區,蔡,男,6534
10706,新北市新莊區,蔡,女,6656
10706,新北市新莊區,劉,男,5685
10706,新北市新莊區,劉,女,5854
10706,新北市新莊區,許,男,5110
10706,新北市新莊區,許,女,5296
10706,新北市新莊區,楊,男,5011
10706,新北市新莊區,楊,女,5351
10706,新北市新莊區,鄭,男,3807
10706,新北市新莊區,鄭,女,4075
10706,新北市新莊區,謝,男,3377
10706,新北市新莊區,謝,女,3377
10706,新北市新莊區,廖,男,3141
10706,新北市新莊區,廖,女,3270
10706,新北市新莊區,洪,男,2926
10706,新北市新莊區,洪,女,3054
10706,新北市新莊區,葉,男,2840
10706,新北市新莊區,葉,女,2929
10706,新北市新莊區,邱,男,2759
10706,新北市新莊區,邱,女,2929
10706,新北市新莊區,郭,男,2682
10706,新北市新莊區,郭,女,2805
10706,新北市新莊區,徐,男,2638
10706,新北市新莊區,徐,女,2716
10706,新北市新莊區,曾,男,2595
10706,新北市新莊區,曾,女,2710
10706,新北市新店區,陳,男,14228
10706,新北市新店區,陳,女,15517
10706,新北市新店區,林,男,11926
10706,新北市新店區,林,女,12555
10706,新北市新店區,張,男,8618
10706,新北市新店區,張,女,9117
10706,新北市新店區,李,男,7219
10706,新北市新店區,李,女,7932
10706,新北市新店區,黃,男,6893
10706,新北市新店區,黃,女,7813
10706,新北市新店區,王,男,7048
10706,新北市新店區,王,女,7268
10706,新北市新店區,劉,男,5852
10706,新北市新店區,劉,女,6004
10706,新北市新店區,吳,男,4982
10706,新北市新店區,吳,女,5374
10706,新北市新店區,楊,男,3296
10706,新北市新店區,楊,女,3794
10706,新北市新店區,高,男,3328
10706,新北市新店區,高,女,3279
10706,新北市新店區,蔡,男,2935
10706,新北市新店區,蔡,女,3344
10706,新北市新店區,周,男,3069
10706,新北市新店區,周,女,3166
10706,新北市新店區,廖,男,2861
10706,新北市新店區,廖,女,2882
10706,新北市新店區,鄭,男,2690
10706,新北市新店區,鄭,女,2940
10706,新北市新店區,許,男,2580
10706,新北市新店區,許,女,2918
10706,新北市新店區,謝,男,1980
10706,新北市新店區,謝,女,2228
10706,新北市新店區,徐,男,1858
10706,新北市新店區,徐,女,1987
10706,新北市新店區,郭,男,1771
10706,新北市新店區,郭,女,1821
10706,新北市新店區,曾,男,1581
10706,新北市新店區,曾,女,1801
10706,新北市新店區,邱,男,1506
10706,新北市新店區,邱,女,1716
10706,新北市樹林區,陳,男,10859
10706,新北市樹林區,陳,女,10677
10706,新北市樹林區,林,男,7970
10706,新北市樹林區,林,女,7833
10706,新北市樹林區,黃,男,4967
10706,新北市樹林區,黃,女,5265
10706,新北市樹林區,張,男,4856
10706,新北市樹林區,張,女,4774
10706,新北市樹林區,李,男,4584
10706,新北市樹林區,李,女,4705
10706,新北市樹林區,王,男,4423
10706,新北市樹林區,王,女,4265
10706,新北市樹林區,吳,男,3579
10706,新北市樹林區,吳,女,3569
10706,新北市樹林區,劉,男,2777
10706,新北市樹林區,劉,女,2842
10706,新北市樹林區,蔡,男,2227
10706,新北市樹林區,蔡,女,2246
10706,新北市樹林區,楊,男,2211
10706,新北市樹林區,楊,女,2209
10706,新北市樹林區,許,男,1892
10706,新北市樹林區,許,女,1974
10706,新北市樹林區,鄭,男,1917
10706,新北市樹林區,鄭,女,1888
10706,新北市樹林區,賴,男,1763
10706,新北市樹林區,賴,女,1627
10706,新北市樹林區,簡,男,1708
10706,新北市樹林區,簡,女,1600
10706,新北市樹林區,謝,男,1520
10706,新北市樹林區,謝,女,1586
10706,新北市樹林區,廖,男,1501
10706,新北市樹林區,廖,女,1527
10706,新北市樹林區,周,男,1460
10706,新北市樹林區,周,女,1444
10706,新北市樹林區,邱,男,1347
10706,新北市樹林區,邱,女,1333
10706,新北市樹林區,曾,男,1205
10706,新北市樹林區,曾,女,1200
10706,新北市樹林區,洪,男,1130
10706,新北市樹林區,洪,女,1152
10706,新北市鶯歌區,陳,男,5185
10706,新北市鶯歌區,陳,女,5069
10706,新北市鶯歌區,林,男,3981
10706,新北市鶯歌區,林,女,3681
10706,新北市鶯歌區,黃,男,2527
10706,新北市鶯歌區,黃,女,2534
10706,新北市鶯歌區,王,男,2395
10706,新北市鶯歌區,王,女,2258
10706,新北市鶯歌區,李,男,2096
10706,新北市鶯歌區,李,女,2148
10706,新北市鶯歌區,張,男,1901
10706,新北市鶯歌區,張,女,2044
10706,新北市鶯歌區,吳,男,1470
10706,新北市鶯歌區,吳,女,1503
10706,新北市鶯歌區,許,男,1354
10706,新北市鶯歌區,許,女,1310
10706,新北市鶯歌區,鄭,男,1301
10706,新北市鶯歌區,鄭,女,1192
10706,新北市鶯歌區,劉,男,1132
10706,新北市鶯歌區,劉,女,1196
10706,新北市鶯歌區,楊,男,939
10706,新北市鶯歌區,楊,女,883
10706,新北市鶯歌區,曾,男,920
10706,新北市鶯歌區,曾,女,888
10706,新北市鶯歌區,廖,男,859
10706,新北市鶯歌區,廖,女,787
10706,新北市鶯歌區,邱,男,834
10706,新北市鶯歌區,邱,女,775
10706,新北市鶯歌區,蔡,男,795
10706,新北市鶯歌區,蔡,女,812
10706,新北市鶯歌區,謝,男,658
10706,新北市鶯歌區,謝,女,661
10706,新北市鶯歌區,呂,男,605
10706,新北市鶯歌區,呂,女,651
10706,新北市鶯歌區,蘇,男,619
10706,新北市鶯歌區,蘇,女,623
10706,新北市鶯歌區,詹,男,655
10706,新北市鶯歌區,詹,女,579
10706,新北市鶯歌區,簡,男,548
10706,新北市鶯歌區,簡,女,516
10706,新北市三峽區,陳,男,8420
10706,新北市三峽區,陳,女,7898
10706,新北市三峽區,林,男,5142
10706,新北市三峽區,林,女,5185
10706,新北市三峽區,黃,男,3246
10706,新北市三峽區,黃,女,3289
10706,新北市三峽區,李,男,3186
10706,新北市三峽區,李,女,3096
10706,新北市三峽區,張,男,2837
10706,新北市三峽區,張,女,2801
10706,新北市三峽區,王,男,2783
10706,新北市三峽區,王,女,2748
10706,新北市三峽區,劉,男,2657
10706,新北市三峽區,劉,女,2450
10706,新北市三峽區,吳,男,1757
10706,新北市三峽區,吳,女,1806
10706,新北市三峽區,周,男,1383
10706,新北市三峽區,周,女,1239
10706,新北市三峽區,蘇,男,1371
10706,新北市三峽區,蘇,女,1142
10706,新北市三峽區,鄭,男,1241
10706,新北市三峽區,鄭,女,1266
10706,新北市三峽區,楊,男,1151
10706,新北市三峽區,楊,女,1235
10706,新北市三峽區,蔡,男,1032
10706,新北市三峽區,蔡,女,1131
10706,新北市三峽區,許,男,1039
10706,新北市三峽區,許,女,1070
10706,新北市三峽區,邱,男,838
10706,新北市三峽區,邱,女,874
10706,新北市三峽區,曾,男,858
10706,新北市三峽區,曾,女,811
10706,新北市三峽區,廖,男,756
10706,新北市三峽區,廖,女,774
10706,新北市三峽區,呂,男,831
10706,新北市三峽區,呂,女,682
10706,新北市三峽區,謝,男,672
10706,新北市三峽區,謝,女,796
10706,新北市三峽區,葉,男,588
10706,新北市三峽區,葉,女,576
10706,新北市淡水區,陳,男,9101
10706,新北市淡水區,陳,女,9979
10706,新北市淡水區,林,男,6232
10706,新北市淡水區,林,女,6819
10706,新北市淡水區,張,男,5817
10706,新北市淡水區,張,女,5953
10706,新北市淡水區,李,男,5305
10706,新北市淡水區,李,女,5503
10706,新北市淡水區,黃,男,4046
10706,新北市淡水區,黃,女,4471
10706,新北市淡水區,王,男,3712
10706,新北市淡水區,王,女,3831
10706,新北市淡水區,吳,男,3000
10706,新北市淡水區,吳,女,3276
10706,新北市淡水區,蔡,男,2094
10706,新北市淡水區,蔡,女,2238
10706,新北市淡水區,楊,男,2003
10706,新北市淡水區,楊,女,2281
10706,新北市淡水區,許,男,1901
10706,新北市淡水區,許,女,2035
10706,新北市淡水區,鄭,男,1904
10706,新北市淡水區,鄭,女,1955
10706,新北市淡水區,劉,男,1665
10706,新北市淡水區,劉,女,2004
10706,新北市淡水區,盧,男,1814
10706,新北市淡水區,盧,女,1542
10706,新北市淡水區,謝,男,1492
10706,新北市淡水區,謝,女,1717
10706,新北市淡水區,郭,男,1486
10706,新北市淡水區,郭,女,1591
10706,新北市淡水區,周,男,1420
10706,新北市淡水區,周,女,1510
10706,新北市淡水區,高,男,1455
10706,新北市淡水區,高,女,1376
10706,新北市淡水區,葉,男,1213
10706,新北市淡水區,葉,女,1235
10706,新北市淡水區,洪,男,1112
10706,新北市淡水區,洪,女,1219
10706,新北市淡水區,曾,男,1014
10706,新北市淡水區,曾,女,1085
10706,新北市汐止區,陳,男,11109
10706,新北市汐止區,陳,女,11557
10706,新北市汐止區,林,男,8061
10706,新北市汐止區,林,女,8551
10706,新北市汐止區,黃,男,6092
10706,新北市汐止區,黃,女,5952
10706,新北市汐止區,李,男,5364
10706,新北市汐止區,李,女,5616
10706,新北市汐止區,張,男,4547
10706,新北市汐止區,張,女,4803
10706,新北市汐止區,王,男,4350
10706,新北市汐止區,王,女,4556
10706,新北市汐止區,吳,男,3413
10706,新北市汐止區,吳,女,3705
10706,新北市汐止區,劉,男,2479
10706,新北市汐止區,劉,女,2765
10706,新北市汐止區,楊,男,2493
10706,新北市汐止區,楊,女,2713
10706,新北市汐止區,蔡,男,2336
10706,新北市汐止區,蔡,女,2390
10706,新北市汐止區,周,男,2145
10706,新北市汐止區,周,女,2119
10706,新北市汐止區,鄭,男,2055
10706,新北市汐止區,鄭,女,2162
10706,新北市汐止區,蘇,男,2058
10706,新北市汐止區,蘇,女,1880
10706,新北市汐止區,廖,男,1987
10706,新北市汐止區,廖,女,1808
10706,新北市汐止區,許,男,1817
10706,新北市汐止區,許,女,1974
10706,新北市汐止區,謝,男,1613
10706,新北市汐止區,謝,女,1687
10706,新北市汐止區,郭,男,1458
10706,新北市汐止區,郭,女,1477
10706,新北市汐止區,高,男,1267
10706,新北市汐止區,高,女,1255
10706,新北市汐止區,曾,男,1166
10706,新北市汐止區,曾,女,1221
10706,新北市汐止區,徐,男,1159
10706,新北市汐止區,徐,女,1221
10706,新北市瑞芳區,陳,男,1980
10706,新北市瑞芳區,陳,女,1963
10706,新北市瑞芳區,林,男,1927
10706,新北市瑞芳區,林,女,1802
10706,新北市瑞芳區,黃,男,1170
10706,新北市瑞芳區,黃,女,1090
10706,新北市瑞芳區,吳,男,947
10706,新北市瑞芳區,吳,女,928
10706,新北市瑞芳區,張,男,859
10706,新北市瑞芳區,張,女,853
10706,新北市瑞芳區,王,男,886
10706,新北市瑞芳區,王,女,816
10706,新北市瑞芳區,李,男,849
10706,新北市瑞芳區,李,女,827
10706,新北市瑞芳區,簡,男,669
10706,新北市瑞芳區,簡,女,553
10706,新北市瑞芳區,楊,男,549
10706,新北市瑞芳區,楊,女,557
10706,新北市瑞芳區,許,男,488
10706,新北市瑞芳區,許,女,469
10706,新北市瑞芳區,周,男,473
10706,新北市瑞芳區,周,女,408
10706,新北市瑞芳區,劉,男,425
10706,新北市瑞芳區,劉,女,442
10706,新北市瑞芳區,廖,男,447
10706,新北市瑞芳區,廖,女,415
10706,新北市瑞芳區,賴,男,397
10706,新北市瑞芳區,賴,女,381
10706,新北市瑞芳區,蘇,男,369
10706,新北市瑞芳區,蘇,女,366
10706,新北市瑞芳區,謝,男,379
10706,新北市瑞芳區,謝,女,354
10706,新北市瑞芳區,蔡,男,347
10706,新北市瑞芳區,蔡,女,382
10706,新北市瑞芳區,鄭,男,335
